Date : 2025-03-03 12:41:44
Directory : c:\Users\Administrator\open-webui\src
Total : 428 files,  123270 codes, 866 comments, 8358 blanks, all 132494 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\components\chat\MessageInput\Commands                                                                         |          3 |        517 |         41 |         79 |        637 |
| lib\components\chat\Messages                                                                                      |         21 |      3,947 |         15 |        503 |      4,465 |
| lib\components\chat\Messages (Files)                                                                              |         16 |      3,452 |         10 |        452 |      3,914 |
| lib\components\chat\Messages\Markdown                                                                             |          4 |        411 |          3 |         43 |        457 |
| lib\components\chat\Messages\ResponseMessage                                                                      |          1 |         84 |          2 |          8 |         94 |
| lib\components\chat\ModelSelector                                                                                 |          1 |        558 |          1 |         60 |        619 |
| lib\components\chat\Overview                                                                                      |          2 |        107 |          0 |         13 |        120 |
| lib\components\chat\Settings                                                                                      |         14 |      4,283 |         74 |        490 |      4,847 |
| lib\components\chat\Settings (Files)                                                                              |          8 |      2,410 |         42 |        340 |      2,792 |
| lib\components\chat\Settings\Account                                                                              |          1 |         99 |          0 |         14 |        113 |
| lib\components\chat\Settings\Advanced                                                                             |          1 |      1,257 |         32 |         73 |      1,362 |
| lib\components\chat\Settings\Connections                                                                          |          1 |         75 |          0 |         10 |         85 |
| lib\components\chat\Settings\Personalization                                                                      |          3 |        442 |          0 |         53 |        495 |
| lib\components\common                                                                                             |         34 |      2,667 |         95 |        408 |      3,170 |
| lib\components\common (Files)                                                                                     |         31 |      2,354 |         28 |        366 |      2,748 |
| lib\components\common\RichTextInput                                                                               |          1 |        202 |         67 |         31 |        300 |
| lib\components\common\Tags                                                                                        |          2 |        111 |          0 |         11 |        122 |
| lib\components\icons                                                                                              |         83 |      1,324 |          0 |        166 |      1,490 |
| lib\components\layout                                                                                             |         17 |      3,385 |         79 |        480 |      3,944 |
| lib\components\layout (Files)                                                                                     |          4 |      1,015 |         45 |        144 |      1,204 |
| lib\components\layout\Help                                                                                        |          1 |         53 |          0 |          8 |         61 |
| lib\components\layout\Navbar                                                                                      |          1 |        230 |         27 |         36 |        293 |
| lib\components\layout\Overlay                                                                                     |          1 |         54 |          0 |          9 |         63 |
| lib\components\layout\Sidebar                                                                                     |         10 |      2,033 |          7 |        283 |      2,323 |
| lib\components\layout\Sidebar (Files)                                                                             |          9 |      1,971 |          7 |        274 |      2,252 |
| lib\components\layout\Sidebar\Folders                                                                             |          1 |         62 |          0 |          9 |         71 |
| lib\components\playground                                                                                         |          5 |        700 |          9 |        110 |        819 |
| lib\components\playground (Files)                                                                                 |          3 |        618 |          7 |         96 |        721 |
| lib\components\playground\Chat                                                                                    |          2 |         82 |          2 |         14 |         98 |
| lib\components\workspace                                                                                          |         26 |      5,030 |         13 |        711 |      5,754 |
| lib\components\workspace (Files)                                                                                  |          4 |      1,416 |          0 |        190 |      1,606 |
| lib\components\workspace\Knowledge                                                                                |          6 |      1,250 |          0 |        169 |      1,419 |
| lib\components\workspace\Knowledge (Files)                                                                        |          3 |        959 |          0 |        136 |      1,095 |
| lib\components\workspace\Knowledge\KnowledgeBase                                                                  |          3 |        291 |          0 |         33 |        324 |
| lib\components\workspace\Models                                                                                   |          8 |      1,181 |          2 |        176 |      1,359 |
| lib\components\workspace\Models (Files)                                                                           |          7 |      1,031 |          2 |        158 |      1,191 |
| lib\components\workspace\Models\Knowledge                                                                         |          1 |        150 |          0 |         18 |        168 |
| lib\components\workspace\Prompts                                                                                  |          2 |        266 |          0 |         41 |        307 |
| lib\components\workspace\Tools                                                                                    |          2 |        400 |          0 |         67 |        467 |
| lib\components\workspace\common                                                                                   |          4 |        517 |         11 |         68 |        596 |
| lib\i18n                                                                                                          |         52 |     57,819 |          3 |         63 |     57,885 |
| lib\i18n (Files)                                                                                                  |          1 |         65 |          3 |         12 |         80 |
| lib\i18n\locales                                                                                                  |         51 |     57,754 |          0 |         51 |     57,805 |
| lib\i18n\locales (Files)                                                                                          |          1 |        198 |          0 |          1 |        199 |
| lib\i18n\locales\ar-BH                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\bg-BG                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\bn-BD                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ca-ES                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ceb-PH                                                                                           |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\cs-CZ                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\da-DK                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\de-DE                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\dg-DG                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\el-GR                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\en-GB                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\en-US                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\es-ES                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\eu-ES                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\fa-IR                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\fi-FI                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\fr-CA                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\fr-FR                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\he-IL                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\hi-IN                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\hr-HR                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\hu-HU                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\id-ID                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ie-GA                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\it-IT                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ja-JP                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ka-GE                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ko-KR                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\lt-LT                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ms-MY                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\nb-NO                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\nl-NL                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\pa-IN                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\pl-PL                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\pt-BR                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\pt-PT                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ro-RO                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ru-RU                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\sk-SK                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\sr-RS                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\sv-SE                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\th-TH                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\tk-TM                                                                                            |          1 |        716 |          0 |          1 |        717 |
| lib\i18n\locales\tk-TW                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\tr-TR                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\uk-UA                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\ur-PK                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\vi-VN                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\zh-CN                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\i18n\locales\zh-TW                                                                                            |          1 |      1,160 |          0 |          1 |      1,161 |
| lib\pyodide                                                                                                       |          2 |        164 |         14 |         28 |        206 |
| lib\stores                                                                                                        |          1 |        194 |          3 |         36 |        233 |
| lib\types                                                                                                         |          1 |         14 |          0 |          2 |         16 |
| lib\utils                                                                                                         |          9 |      1,677 |        148 |        316 |      2,141 |
| lib\utils (Files)                                                                                                 |          4 |      1,252 |        132 |        231 |      1,615 |
| lib\utils\characters                                                                                              |          1 |        169 |          0 |         29 |        198 |
| lib\utils\marked                                                                                                  |          2 |        198 |         16 |         40 |        254 |
| lib\utils\rag                                                                                                     |          1 |         19 |          0 |          6 |         25 |
| lib\utils\transitions                                                                                             |          1 |         39 |          0 |         10 |         49 |
| lib\workers                                                                                                       |          3 |        243 |         47 |         52 |        342 |
| routes                                                                                                            |         40 |      2,469 |         23 |        431 |      2,923 |
| routes (Files)                                                                                                    |          3 |        509 |         16 |         97 |        622 |
| routes\(app)                                                                                                      |         33 |      1,317 |          7 |        245 |      1,569 |
| routes\(app) (Files)                                                                                              |          2 |        304 |          0 |         53 |        357 |
| routes\(app)\admin                                                                                                |          8 |        283 |          0 |         53 |        336 |
| routes\(app)\admin (Files)                                                                                        |          2 |         86 |          0 |         14 |        100 |
| routes\(app)\admin\evaluations                                                                                    |          1 |          4 |          0 |          2 |          6 |
| routes\(app)\admin\functions                                                                                      |          3 |        185 |          0 |         33 |        218 |
| routes\(app)\admin\functions (Files)                                                                              |          1 |         16 |          0 |          4 |         20 |
| routes\(app)\admin\functions\create                                                                               |          1 |         88 |          0 |         16 |        104 |
| routes\(app)\admin\functions\edit                                                                                 |          1 |         81 |          0 |         13 |         94 |
| routes\(app)\admin\settings                                                                                       |          1 |          4 |          0 |          2 |          6 |
| routes\(app)\admin\users                                                                                          |          1 |          4 |          0 |          2 |          6 |
| routes\(app)\c                                                                                                    |          1 |          7 |          0 |          3 |         10 |
| routes\(app)\c\[id]                                                                                               |          1 |          7 |          0 |          3 |         10 |
| routes\(app)\channels                                                                                             |          1 |          5 |          0 |          3 |          8 |
| routes\(app)\channels\[id]                                                                                        |          1 |          5 |          0 |          3 |          8 |
| routes\(app)\home                                                                                                 |          2 |         58 |          0 |          9 |         67 |
| routes\(app)\playground                                                                                           |          4 |         74 |          6 |         15 |         95 |
| routes\(app)\playground (Files)                                                                                   |          2 |         66 |          6 |         11 |         83 |
| routes\(app)\playground\completions                                                                               |          1 |          4 |          0 |          2 |          6 |
| routes\(app)\playground\notes                                                                                     |          1 |          4 |          0 |          2 |          6 |
| routes\(app)\workspace                                                                                            |         15 |        586 |          1 |        109 |        696 |
| routes\(app)\workspace (Files)                                                                                    |          2 |        143 |          1 |         16 |        160 |
| routes\(app)\workspace\functions                                                                                  |          1 |          7 |          0 |          2 |          9 |
| routes\(app)\workspace\functions\create                                                                           |          1 |          7 |          0 |          2 |          9 |
| routes\(app)\workspace\knowledge                                                                                  |          3 |         24 |          0 |          8 |         32 |
| routes\(app)\workspace\knowledge (Files)                                                                          |          1 |         16 |          0 |          4 |         20 |
| routes\(app)\workspace\knowledge\[id]                                                                             |          1 |          4 |          0 |          2 |          6 |
| routes\(app)\workspace\knowledge\create                                                                           |          1 |          4 |          0 |          2 |          6 |
| routes\(app)\workspace\models                                                                                     |          3 |        138 |          0 |         30 |        168 |
| routes\(app)\workspace\models (Files)                                                                             |          1 |         21 |          0 |          3 |         24 |
| routes\(app)\workspace\models\create                                                                              |          1 |         76 |          0 |         16 |         92 |
| routes\(app)\workspace\models\edit                                                                                |          1 |         41 |          0 |         11 |         52 |
| routes\(app)\workspace\prompts                                                                                    |          3 |        109 |          0 |         23 |        132 |
| routes\(app)\workspace\prompts (Files)                                                                            |          1 |          4 |          0 |          2 |          6 |
| routes\(app)\workspace\prompts\create                                                                             |          1 |         55 |          0 |         12 |         67 |
| routes\(app)\workspace\prompts\edit                                                                               |          1 |         50 |          0 |          9 |         59 |
| routes\(app)\workspace\tools                                                                                      |          3 |        165 |          0 |         30 |        195 |
| routes\(app)\workspace\tools (Files)                                                                              |          1 |          5 |          0 |          3 |          8 |
| routes\(app)\workspace\tools\create                                                                               |          1 |         83 |          0 |         15 |         98 |
| routes\(app)\workspace\tools\edit                                                                                 |          1 |         77 |          0 |         12 |         89 |
| routes\auth                                                                                                       |          1 |        415 |          0 |         43 |        458 |
| routes\error                                                                                                      |          1 |         52 |          0 |          9 |         61 |
| routes\s                                                                                                          |          1 |        158 |          0 |         32 |        190 |
| routes\s\[id]                                                                                                     |          1 |        158 |          0 |         32 |        190 |
| routes\watch                                                                                                      |          1 |         18 |          0 |          5 |         23 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Administrator\open-webui\src\app.css                                                                     | CSS        |        298 |          7 |         70 |        375 |
| c:\Users\Administrator\open-webui\src\app.d.ts                                                                    | TypeScript |          5 |          6 |          2 |         13 |
| c:\Users\Administrator\open-webui\src\app.html                                                                    | HTML       |        199 |          3 |         34 |        236 |
| c:\Users\Administrator\open-webui\src\lib\apis\audio\index.ts                                                     | TypeScript |        164 |          0 |         30 |        194 |
| c:\Users\Administrator\open-webui\src\lib\apis\auths\index.ts                                                     | TypeScript |        603 |          0 |         92 |        695 |
| c:\Users\Administrator\open-webui\src\lib\apis\channels\index.ts                                                  | TypeScript |        392 |          0 |         51 |        443 |
| c:\Users\Administrator\open-webui\src\lib\apis\chats\index.ts                                                     | TypeScript |        908 |          0 |        147 |      1,055 |
| c:\Users\Administrator\open-webui\src\lib\apis\configs\index.ts                                                   | TypeScript |        273 |          0 |         45 |        318 |
| c:\Users\Administrator\open-webui\src\lib\apis\evaluations\index.ts                                               | TypeScript |        214 |          0 |         33 |        247 |
| c:\Users\Administrator\open-webui\src\lib\apis\files\index.ts                                                     | TypeScript |        210 |          0 |         34 |        244 |
| c:\Users\Administrator\open-webui\src\lib\apis\folders\index.ts                                                   | TypeScript |        236 |          0 |         34 |        270 |
| c:\Users\Administrator\open-webui\src\lib\apis\functions\index.ts                                                 | TypeScript |        388 |          0 |         68 |        456 |
| c:\Users\Administrator\open-webui\src\lib\apis\groups\index.ts                                                    | TypeScript |        139 |          0 |         24 |        163 |
| c:\Users\Administrator\open-webui\src\lib\apis\images\index.ts                                                    | TypeScript |        204 |          0 |         29 |        233 |
| c:\Users\Administrator\open-webui\src\lib\apis\index.ts                                                           | TypeScript |      1,077 |         20 |        170 |      1,267 |
| c:\Users\Administrator\open-webui\src\lib\apis\knowledge\index.ts                                                 | TypeScript |        299 |          0 |         49 |        348 |
| c:\Users\Administrator\open-webui\src\lib\apis\memories\index.ts                                                  | TypeScript |        160 |          0 |         27 |        187 |
| c:\Users\Administrator\open-webui\src\lib\apis\models\index.ts                                                    | TypeScript |        224 |          0 |         42 |        266 |
| c:\Users\Administrator\open-webui\src\lib\apis\ollama\index.ts                                                    | TypeScript |        457 |         12 |         73 |        542 |
| c:\Users\Administrator\open-webui\src\lib\apis\openai\index.ts                                                    | TypeScript |        371 |          0 |         52 |        423 |
| c:\Users\Administrator\open-webui\src\lib\apis\prompts\index.ts                                                   | TypeScript |        175 |          0 |         30 |        205 |
| c:\Users\Administrator\open-webui\src\lib\apis\retrieval\index.ts                                                 | TypeScript |        498 |          0 |         79 |        577 |
| c:\Users\Administrator\open-webui\src\lib\apis\streaming\index.ts                                                 | TypeScript |        116 |         12 |         15 |        143 |
| c:\Users\Administrator\open-webui\src\lib\apis\tools\index.ts                                                     | TypeScript |        361 |          0 |         62 |        423 |
| c:\Users\Administrator\open-webui\src\lib\apis\users\index.ts                                                     | TypeScript |        316 |          0 |         50 |        366 |
| c:\Users\Administrator\open-webui\src\lib\apis\utils\index.ts                                                     | TypeScript |        192 |          0 |         26 |        218 |
| c:\Users\Administrator\open-webui\src\lib\components\AddConnectionModal.svelte                                    | Svelte     |        325 |          0 |         45 |        370 |
| c:\Users\Administrator\open-webui\src\lib\components\AddFilesPlaceholder.svelte                                   | Svelte     |         25 |          0 |          4 |         29 |
| c:\Users\Administrator\open-webui\src\lib\components\ChangelogModal.svelte                                        | Svelte     |        108 |          0 |         13 |        121 |
| c:\Users\Administrator\open-webui\src\lib\components\NotificationToast.svelte                                     | Svelte     |         44 |          0 |         10 |         54 |
| c:\Users\Administrator\open-webui\src\lib\components\OnBoarding.svelte                                            | Svelte     |         66 |          1 |         12 |         79 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Evaluations.svelte                                     | Svelte     |         90 |          0 |         11 |        101 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Evaluations\FeedbackMenu.svelte                        | Svelte     |         40 |          0 |          7 |         47 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Evaluations\Feedbacks.svelte                           | Svelte     |        249 |          1 |         36 |        286 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Evaluations\Leaderboard.svelte                         | Svelte     |        355 |          0 |         60 |        415 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Functions.svelte                                       | Svelte     |        501 |          5 |         63 |        569 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Functions\FunctionEditor.svelte                        | Svelte     |        364 |          0 |         68 |        432 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Functions\FunctionMenu.svelte                          | Svelte     |        118 |          0 |         21 |        139 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings.svelte                                        | Svelte     |        411 |          0 |         25 |        436 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Audio.svelte                                  | Svelte     |        582 |          0 |         59 |        641 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\CodeExecution.svelte                          | Svelte     |        281 |          0 |         37 |        318 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Connections.svelte                            | Svelte     |        345 |          0 |         60 |        405 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Connections\ManageOllamaModal.svelte          | Svelte     |         42 |          0 |          5 |         47 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Connections\OllamaConnection.svelte           | Svelte     |         79 |          0 |         12 |         91 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Connections\OpenAIConnection.svelte           | Svelte     |         97 |          0 |         12 |        109 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Database.svelte                               | Svelte     |        168 |         10 |         19 |        197 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Documents.svelte                              | Svelte     |        801 |          0 |         99 |        900 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Evaluations.svelte                            | Svelte     |        162 |          0 |         24 |        186 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte            | Svelte     |        379 |          0 |         53 |        432 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Evaluations\Model.svelte                      | Svelte     |         56 |          0 |          8 |         64 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\General.svelte                                | Svelte     |        561 |          6 |         64 |        631 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Images.svelte                                 | Svelte     |        665 |          3 |         70 |        738 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Interface.svelte                              | Svelte     |        427 |          0 |         57 |        484 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models.svelte                                 | Svelte     |        389 |          0 |         42 |        431 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte            | Svelte     |        278 |          2 |         38 |        318 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\ManageModelsModal.svelte               | Svelte     |         90 |          8 |         13 |        111 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\Manage\ManageMultipleOllama.svelte     | Svelte     |         21 |          0 |          6 |         27 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte             | Svelte     |        954 |          0 |        109 |      1,063 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\ModelList.svelte                       | Svelte     |         57 |          0 |         12 |         69 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Pipelines.svelte                              | Svelte     |        525 |          1 |         54 |        580 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\WebSearch.svelte                              | Svelte     |        483 |          0 |         50 |        533 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users.svelte                                           | Svelte     |         96 |          0 |         15 |        111 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups.svelte                                    | Svelte     |        209 |          0 |         35 |        244 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\AddGroupModal.svelte                      | Svelte     |        133 |          0 |         17 |        150 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\Display.svelte                            | Svelte     |         35 |         19 |          8 |         62 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\EditGroupModal.svelte                     | Svelte     |        248 |         48 |         27 |        323 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\GroupItem.svelte                          | Svelte     |         69 |          0 |         16 |         85 |
